course_id,course_name,rating,workload,difficulty
CS-6035,Intro to Information Security,4,10,2
CS-6035,Intro to Information Security,5,10,2
CS-6035,Intro to Information Security,4,2,2
CS-6035,Intro to Information Security,4,10,2
CS-6035,Intro to Information Security,4,8,2
CS-6035,Intro to Information Security,4,11,3
CS-6035,Intro to Information Security,4,8,2
CS-6035,Intro to Information Security,4,5,2
CS-6035,Intro to Information Security,4,5,2
CS-6035,Intro to Information Security,NULL,10,3
CS-6035,Intro to Information Security,1,10,2
CS-6035,Intro to Information Security,5,10,3
CS-6035,Intro to Information Security,4,16,3
CS-6035,Intro to Information Security,5,5,2
CS-6035,Intro to Information Security,2,15,3
CS-6035,Intro to Information Security,4,12,3
CS-6035,Intro to Information Security,5,7,3
CS-6035,Intro to Information Security,4,5,2
CS-6035,Intro to Information Security,5,10,4
CS-6035,Intro to Information Security,NULL,10,2
CS-6035,Intro to Information Security,4,6,3
CS-6035,Intro to Information Security,3,8,2
CS-6035,Intro to Information Security,3,10,4
CS-6035,Intro to Information Security,4,17,4
CS-6035,Intro to Information Security,NULL,3,1
CS-6035,Intro to Information Security,NULL,10,2
CS-6035,Intro to Information Security,4,10,2
CS-6035,Intro to Information Security,4,12,3
CS-6035,Intro to Information Security,4,16,2
CS-6035,Intro to Information Security,5,15,3
CS-6035,Intro to Information Security,4,3,2
CS-6035,Intro to Information Security,4,2,1
CS-6035,Intro to Information Security,4,8,2
CS-6035,Intro to Information Security,5,12,2
CS-6035,Intro to Information Security,2,3,2
CS-6035,Intro to Information Security,NULL,5,2
CS-6035,Intro to Information Security,2,5,1
CS-6035,Intro to Information Security,3,6,3
CS-6035,Intro to Information Security,1,5,2
CS-6035,Intro to Information Security,NULL,10,3
CS-6035,Intro to Information Security,3,6,2
CS-6035,Intro to Information Security,NULL,5,2
CS-6035,Intro to Information Security,5,16,3
CS-6035,Intro to Information Security,2,3,2
CS-6035,Intro to Information Security,NULL,5,3
CS-6035,Intro to Information Security,NULL,3,2
CS-6035,Intro to Information Security,2,5,2
CS-6035,Intro to Information Security,4,10,2
CS-6035,Intro to Information Security,NULL,5,3
CS-6035,Intro to Information Security,5,8,2
CS-6035,Intro to Information Security,3,10,2
CS-6035,Intro to Information Security,1,3,2
CS-6035,Intro to Information Security,4,4,2
CS-6035,Intro to Information Security,4,8,3
CS-6035,Intro to Information Security,5,8,2
CS-6035,Intro to Information Security,NULL,10,2
CS-6035,Intro to Information Security,3,3,2
CS-6035,Intro to Information Security,4,10,3
CS-6035,Intro to Information Security,NULL,10,2
CS-6035,Intro to Information Security,NULL,6,2
CS-6035,Intro to Information Security,4,6,2
CS-6035,Intro to Information Security,5,12.65,3
CS-6035,Intro to Information Security,4,7,2
CS-6035,Intro to Information Security,4,5,2
CS-6035,Intro to Information Security,2,3,2
CS-6035,Intro to Information Security,4,10,3
CS-6035,Intro to Information Security,4,8,2
CS-6035,Intro to Information Security,4,10,2
CS-6035,Intro to Information Security,NULL,10,3
CS-6035,Intro to Information Security,5,10,3
CS-6035,Intro to Information Security,NULL,10,2
CS-6035,Intro to Information Security,4,10,2
CS-6035,Intro to Information Security,3,6,3
CS-6035,Intro to Information Security,4,12,3
CS-6035,Intro to Information Security,5,10,3
CS-6035,Intro to Information Security,4,15,3
CS-6035,Intro to Information Security,NULL,5,2
CS-6035,Intro to Information Security,5,5,1
CS-6035,Intro to Information Security,4,12,3
CS-6035,Intro to Information Security,3,15,3
CS-6035,Intro to Information Security,NULL,10,2
CS-6035,Intro to Information Security,3,5,2
CS-6035,Intro to Information Security,1,3,1
CS-6035,Intro to Information Security,4,12,2
CS-6035,Intro to Information Security,4,4,2
CS-6035,Intro to Information Security,4,6,2
CS-6035,Intro to Information Security,5,20,3
CS-6035,Intro to Information Security,4,10,3
CS-6035,Intro to Information Security,4,6,2
CS-6035,Intro to Information Security,4,12,2
CS-6035,Intro to Information Security,4,10,2
CS-6035,Intro to Information Security,3,10,2
CS-6035,Intro to Information Security,4,10,3
CS-6035,Intro to Information Security,3,12,3
CS-6035,Intro to Information Security,5,1,1
CS-6035,Intro to Information Security,2,3,3
CS-6035,Intro to Information Security,5,8,3
CS-6035,Intro to Information Security,2,6,1
CS-6035,Intro to Information Security,1,6,2
CS-6035,Intro to Information Security,4,19,2
CS-6035,Intro to Information Security,2,20,3
CS-6035,Intro to Information Security,2,8,3
CS-6035,Intro to Information Security,4,15,3
CS-6035,Intro to Information Security,3,8,2
CS-6200,Intro to Operating Systems,5,20,4
CS-6200,Intro to Operating Systems,5,15,4
CS-6200,Intro to Operating Systems,NULL,20,4
CS-6200,Intro to Operating Systems,NULL,15,4
CS-6200,Intro to Operating Systems,NULL,20,4
CS-6200,Intro to Operating Systems,NULL,14,3
CS-6200,Intro to Operating Systems,5,20,3
CS-6200,Intro to Operating Systems,1,12,5
CS-6200,Intro to Operating Systems,NULL,20,4
CS-6200,Intro to Operating Systems,NULL,35,3
CS-6200,Intro to Operating Systems,NULL,20,3
CS-6200,Intro to Operating Systems,4,13,3
CS-6200,Intro to Operating Systems,NULL,20,5
CS-6200,Intro to Operating Systems,NULL,15,2
CS-6200,Intro to Operating Systems,5,15,4
CS-6200,Intro to Operating Systems,5,20,3
CS-6200,Intro to Operating Systems,5,15,3
CS-6200,Intro to Operating Systems,5,20,4
CS-6200,Intro to Operating Systems,3,30,4
CS-6200,Intro to Operating Systems,5,12,3
CS-6200,Intro to Operating Systems,5,10,3
CS-6200,Intro to Operating Systems,NULL,10,4
CS-6200,Intro to Operating Systems,4,15,4
CS-6200,Intro to Operating Systems,NULL,15,4
CS-6200,Intro to Operating Systems,NULL,20,5
CS-6200,Intro to Operating Systems,NULL,10,3
CS-6200,Intro to Operating Systems,5,20,3
CS-6200,Intro to Operating Systems,5,12,3
CS-6200,Intro to Operating Systems,5,40,4
CS-6200,Intro to Operating Systems,5,17,3
CS-6200,Intro to Operating Systems,5,18,3
CS-6200,Intro to Operating Systems,2,10,3
CS-6200,Intro to Operating Systems,5,12,3
CS-6200,Intro to Operating Systems,4,10,3
CS-6200,Intro to Operating Systems,5,10,3
CS-6200,Intro to Operating Systems,3,16,5
CS-6200,Intro to Operating Systems,2,30,4
CS-6200,Intro to Operating Systems,5,15,3
CS-6200,Intro to Operating Systems,NULL,20,5
CS-6200,Intro to Operating Systems,5,15,4
CS-6200,Intro to Operating Systems,5,12,3
CS-6200,Intro to Operating Systems,4,38,5
CS-6200,Intro to Operating Systems,5,8,2
CS-6200,Intro to Operating Systems,5,25,4
CS-6200,Intro to Operating Systems,5,8,3
CS-6200,Intro to Operating Systems,4,30,4
CS-6200,Intro to Operating Systems,5,20,4
CS-6200,Intro to Operating Systems,4,3,3
CS-6200,Intro to Operating Systems,4,10,3
CS-6200,Intro to Operating Systems,5,10,2
CS-6200,Intro to Operating Systems,5,15,4
CS-6200,Intro to Operating Systems,1,20,4
CS-6200,Intro to Operating Systems,4,10,3
CS-6200,Intro to Operating Systems,5,25,4
CS-6200,Intro to Operating Systems,4,30,4
CS-6200,Intro to Operating Systems,4,20,3
CS-6200,Intro to Operating Systems,5,20,4
CS-6200,Intro to Operating Systems,5,15,3
CS-6200,Intro to Operating Systems,3,7,3
CS-6200,Intro to Operating Systems,4,15,4
CS-6200,Intro to Operating Systems,4,20,4
CS-6200,Intro to Operating Systems,5,15,3
CS-6200,Intro to Operating Systems,5,14,4
CS-6200,Intro to Operating Systems,5,20,4
CS-6200,Intro to Operating Systems,4,10,3
CS-6200,Intro to Operating Systems,4,50,3
CS-6200,Intro to Operating Systems,5,18,4
CS-6200,Intro to Operating Systems,4,12,3
CS-6200,Intro to Operating Systems,5,16,4
CS-6200,Intro to Operating Systems,5,12,3
CS-6200,Intro to Operating Systems,4,20,4
CS-6200,Intro to Operating Systems,5,15,3
CS-6200,Intro to Operating Systems,5,12,3
CS-6200,Intro to Operating Systems,4,20,4
CS-6200,Intro to Operating Systems,5,20,4
CS-6200,Intro to Operating Systems,5,12,3
CS-6200,Intro to Operating Systems,5,15,3
CS-6200,Intro to Operating Systems,5,15,3
CS-6200,Intro to Operating Systems,5,6,4
CS-6200,Intro to Operating Systems,5,10,3
CS-6200,Intro to Operating Systems,5,5,2
CS-6200,Intro to Operating Systems,5,10,3
CS-6200,Intro to Operating Systems,4,7,3
CS-6200,Intro to Operating Systems,5,20,4
CS-6200,Intro to Operating Systems,5,8,4
CS-6200,Intro to Operating Systems,5,20,4
CS-6200,Intro to Operating Systems,5,10,3
CS-6200,Intro to Operating Systems,NULL,40,5
CS-6200,Intro to Operating Systems,4,15,3
CS-6200,Intro to Operating Systems,5,18,4
CS-6200,Intro to Operating Systems,5,15,4
CS-6200,Intro to Operating Systems,4,12,3
CS-6200,Intro to Operating Systems,5,14,3
CS-6200,Intro to Operating Systems,5,18,4
CS-6200,Intro to Operating Systems,5,15,5
CS-6200,Intro to Operating Systems,5,20,4
CS-6200,Intro to Operating Systems,NULL,15,4
